method,best_test_acc,best_step,final_test_acc,steps_covered,final_mask_ratio,final_pl_quality,final_reinforcement_ratio,final_corrections_ratio
fixmatch,0.8505,483500,0.8505,483500,0.8366534450054168,0.8615276381909548,8.242703533026114,1.512158054711246
efficientmatch_ema,0.8476,221000,0.8447,224500,0.6693655496835709,0.8361005025125628,10.406371911573473,0.9457364341085271
flexmatch,0.8292,199000,0.8292,199000,0.8004444333910942,0.8391557788944723,7.011015490533563,1.19873532068654
efficientmatch,0.7826,87000,0.7724,92500,0.647689414024353,0.809748743718593,9.64874342489772,0.9504950495049505
mixmatch,0.7476,153000,0.7284,169000,1.0,0.74321608040201,3.6593585058871296,1.1369587109768378
