method,best_test_acc,best_step,final_test_acc,steps_covered,final_mask_ratio,final_pl_quality,final_reinforcement_ratio,final_corrections_ratio
fixmatch_no_ema,0.8505,483500,0.8505,483500,0.8366534450054168,0.8615276381909548,8.242703533026114,1.512158054711246
fixmatch_ema,0.8117,102000,0.8029,104000,0.7050710554122925,0.7927638190954774,5.605548469387755,0.7619663648124192
efficientmatch_ema,0.8012,41000,0.8012,41000,0.6196183910369873,0.7843417085427136,7.674698795180723,1.0788091068301227
efficientmatch_no_ema,0.8003,133500,0.7829,134000,0.6576,0.8225,10.393725992317542,1.1240875912408759
