step,test_acc,mask_ratio,pl_quality,reinforcement_ratio,corrections_ratio,time_elapsed
0,0.1005,0.0,0.0,,,46.50270056724548
500,0.1,0.10092425571692984,0.14814070351758793,,,97.43696475028992
1000,0.1095,0.29711892548203467,0.2987537688442211,1.2120859965136548,1.774390243902439,146.0157985687256
1500,0.1887,0.3310105673372746,0.35909547738693465,1.089541674039993,1.452991452991453,195.86517429351807
2000,0.2988,0.3519671425223351,0.3898492462311558,1.0977777777777777,1.3261432269197584,245.51909232139587
2500,0.3766,0.37525651064515114,0.41869346733668344,1.1729024943310657,1.543189368770764,294.74382066726685
3000,0.4067,0.39920781034231184,0.4372261306532663,1.1345261762756793,1.3181818181818181,343.8628339767456
3500,0.4233,0.4008908461332321,0.447356783919598,1.1637687019813991,1.1494404213298222,392.56902050971985
4000,0.4436,0.4178145485818386,0.4666733668341709,1.2235564639754726,1.4529008109794137,441.07033944129944
4500,0.4559,0.437220799267292,0.47915577889447236,1.2356662180349933,1.2880937692782233,489.9231593608856
5000,0.4673,0.45024677413702013,0.4901105527638191,1.308767803475761,1.26187648456057,537.8986568450928
5500,0.4779,0.46072851169109347,0.5045628140703518,1.454495082421388,1.392,586.012491941452
6000,0.4887,0.46216682291030886,0.5166633165829145,1.5186771002509967,1.363031914893617,634.0099852085114
6500,0.499,0.48254182463884354,0.5258894472361809,1.4274879037531059,1.2413213885778276,682.2949771881104
7000,0.5072,0.49543184155225756,0.5391356783919597,1.6564885496183206,1.368728121353559,730.3865282535553
7500,0.5154,0.510546291232109,0.5408040201005025,1.4956296093963397,1.030969030969031,778.6902973651886
8000,0.5279,0.5265199121832848,0.5588542713567839,1.8444902162718846,1.556538218572331,826.8388233184814
8500,0.5392,0.5329147990345955,0.5657286432160804,1.7565601825442099,1.1828925154755205,874.7414953708649
9000,0.5522,0.5444736455082894,0.5716984924623115,1.7861635220125787,1.14937106918239,922.5975568294525
9500,0.5599,0.5533222661614418,0.5782713567839196,1.8134187163440547,1.1607684529828108,970.8038244247437
10000,0.5686,0.5711489698588849,0.5909748743718592,2.005456813221079,1.379915305505142,1018.6473577022552
10500,0.5825,0.5615949932336807,0.5997185929648241,1.957910673732021,1.2278947368421054,1066.223462343216
11000,0.5896,0.5800191009044647,0.6056281407035176,2.1975232198142414,1.1498708010335916,1114.4112679958344
11500,0.6013,0.5849212910532952,0.6112562814070351,1.962162162162162,1.148562300319489,1162.1627061367035
12000,0.6122,0.5902845228910446,0.6231356783919598,2.2536507936507935,1.3220153340635268,1210.5114016532898
12500,0.6214,0.5894618756771087,0.6272964824120603,2.105183694011072,1.1041137633316405,1258.936058998108
13000,0.6253,0.5858401223421097,0.6357989949748744,2.5064068808144637,1.2320351069665387,1307.151210308075
13500,0.6404,0.6066773797273636,0.6416884422110553,2.316324829081207,1.1611295681063123,1355.0172581672668
14000,0.6445,0.5923466160297394,0.6409246231155779,2.517532586744997,0.9799154334038055,1402.887583732605
14500,0.6477,0.6196165024638176,0.649105527638191,2.53502862916807,1.251700680272109,1451.261734008789
15000,0.6552,0.6332999448180199,0.6562613065326633,2.5238831615120274,1.2084309133489461,1499.2105360031128
15500,0.6578,0.6237053830623627,0.6561608040201005,2.5035350922572857,0.9974120082815735,1547.162538766861
16000,0.6656,0.6283490515947342,0.6654472361809045,2.659274193548387,1.2524590163934426,1595.1145496368408
16500,0.6733,0.6321473484039306,0.6731457286432161,2.9452822892498065,1.239076154806492,1642.8526837825775
17000,0.6784,0.6479837926626205,0.6796984924623115,2.8156174107976835,1.1943947525342875,1690.7061026096344
17500,0.6841,0.6450268137454986,0.6770854271356784,2.8844956983342485,0.9322210636079249,1738.9824345111847
18000,0.6786,0.615591746211052,0.6735075376884422,2.501449875724938,0.9126594700686947,1786.7604632377625
18500,0.6838,0.6278721860051155,0.6788341708542713,3.192277842452464,1.1492117117117118,1834.7703239917755
19000,0.6942,0.6544492987394332,0.6887236180904522,2.992662676192315,1.3108022741629817,1883.4544909000397
19500,0.6993,0.65777235019207,0.693286432160804,3.022171688459352,1.1434892541087232,1932.1760215759277
20000,0.701,0.646934281885624,0.693748743718593,3.0932066316215123,1.0131503716409376,1984.3213975429535
20500,0.7026,0.6485296556949616,0.693748743718593,3.1377914819811137,1.0,2033.2048723697662
21000,0.7071,0.653087690114975,0.6998994974874372,3.1316659776767257,1.1916092673763305,2080.9724373817444
21500,0.7124,0.6701948363780975,0.7067336683417086,3.368948247078464,1.2259136212624584,2129.363870859146
22000,0.71,0.6377350115180016,0.7023919597989949,3.125436255389037,0.8898521162672106,2177.242023706436
22500,0.7159,0.6657447541356086,0.7054673366834171,3.365813377374071,1.0950901180857675,2225.498626470566
23000,0.7147,0.655535336971283,0.7059497487437186,3.162991785559879,1.0145278450363195,2273.867028951645
23500,0.7176,0.6647532769441604,0.708643216080402,3.30937629078893,1.0801435406698565,2321.929685354233
24000,0.7194,0.6726875302791595,0.7114974874371859,3.4645426515930113,1.0885286783042394,2370.474012851715
24500,0.7183,0.6457715384960174,0.7077587939698492,3.2947441537392916,0.8956228956228957,2418.571196079254
25000,0.7203,0.6589464582800865,0.7111356783919598,3.4783155248271527,1.1042183622828785,2466.7002000808716
25500,0.7256,0.6834894802570343,0.7184522613065326,3.6818752616157386,1.2563380281690142,2514.941502571106
26000,0.7249,0.6675588769912719,0.715819095477387,3.2826460481099655,0.9184816428126945,2563.3193209171295
26500,0.7267,0.6672240552902222,0.7157788944723618,3.4230076542098153,0.9987893462469734,2611.4074931144714
27000,0.7295,0.6798295782804489,0.7261909547738693,3.8293608943260917,1.365561044460127,2659.7035224437714
27500,0.7305,0.6724428079128265,0.7242814070351759,3.6004550625711036,0.9383916990920882,2707.7651908397675
28000,0.7306,0.6687301442623138,0.7236180904522613,3.4223227752639516,0.979426433915212,2756.0005447864532
28500,0.7339,0.6813596096038819,0.7247035175879397,3.539198606271777,1.0330679730557257,2804.1712613105774
29000,0.7368,0.6655101761817932,0.7249246231155779,3.498851630684428,1.0064705882352942,2852.348288536072
29500,0.7366,0.6916652114391327,0.7297286432160804,3.915061295971979,1.1644872677219547,2900.6604747772217
30000,0.7364,0.690541428565979,0.7287437185929648,3.47982967279247,0.9697717458359038,2948.7456448078156
30500,0.7371,0.6663766553401947,0.7287839195979899,3.8173569101907865,1.0012507817385867,2997.0408749580383
31000,0.7394,0.6852666714191437,0.7342914572864322,3.7199456644781526,1.1894882434301521,3045.2917988300323
31500,0.742,0.670400598347187,0.7342311557788944,3.700943396226415,0.99800796812749,3093.540721178055
32000,0.7373,0.6513027901053429,0.7311356783919598,3.9680232558139537,0.9058103975535168,3141.5446116924286
32500,0.7401,0.6814521423578263,0.7334874371859297,3.928665496049166,1.0762214983713354,3189.821410179138
33000,0.7468,0.7012346103191376,0.7416482412060301,3.954341987466428,1.2976539589442815,3238.02526140213
