step,test_acc,mask_ratio,pl_quality,reinforcement_ratio,corrections_ratio,time_elapsed
0,0.1316,1.0,0.00036180904522613067,,,30.484198570251465
500,0.1,0.8218397217427561,0.2965427135678392,0.07954545454545454,4.875,54.83734083175659
1000,0.1414,0.7256127088069916,0.383356783919598,0.5486271299947912,1.9129366812227073,76.99823689460754
1500,0.2136,0.6713873307704925,0.4322613065326633,0.7833565783356579,1.6273866348448687,99.00543928146362
2000,0.3807,0.6130539970397949,0.4789748743718593,1.0734087380793969,1.9026108578532948,121.13285422325134
2500,0.4738,0.5756363825201988,0.5062713567839195,1.338927494427691,1.6120527306967984,143.12555193901062
3000,0.5249,0.552444147348404,0.539356783919598,1.729278183292782,2.016403785488959,165.0273003578186
3500,0.5525,0.5530180134773255,0.5556984924623115,1.8255162758137906,1.4458923512747874,186.9241588115692
4000,0.575,0.5504375184774399,0.5739296482412061,2.150294508835265,1.606060606060606,208.8841106891632
4500,0.5907,0.5565113824009895,0.5909547738693467,2.4743322203672786,1.6176470588235294,230.8315179347992
5000,0.603,0.5795805116295815,0.6034170854271357,2.4445904511607535,1.4375,253.02922654151917
5500,0.6162,0.5904782384037971,0.6134673366834171,2.6483948460362523,1.3306666666666667,274.90619683265686
6000,0.6243,0.5936714197397233,0.6246231155778894,2.745568768229751,1.3696236559139785,296.6930434703827
6500,0.6303,0.6112566488981247,0.6340301507537689,2.8019421860885276,1.3225361819434873,319.2535126209259
7000,0.6433,0.5943778601288795,0.6417085427135678,2.9126426690079015,1.2853932584269663,342.7556347846985
7500,0.6502,0.6206932002902031,0.6469949748743719,3.065705506972347,1.180998613037448,365.0959873199463
8000,0.6574,0.6298163080215454,0.6579095477386935,3.282409761057448,1.4368463395012068,387.54862809181213
8500,0.6693,0.6469252091646195,0.6628542713567839,3.1442774005819594,1.1745919091554293,409.6881320476532
9000,0.68,0.6398996405601501,0.6675376884422111,3.3125145653693777,1.1790930053804765,431.62945771217346
9500,0.6836,0.6277765350341797,0.6711557788944723,3.505014142453073,1.1408450704225352,453.2089307308197
10000,0.6904,0.623650587439537,0.6762211055276381,3.511857180921929,1.2,474.91096329689026
10500,0.6954,0.6417102472782135,0.6809447236180904,3.7316399779127556,1.1810477657935285,496.7829101085663
11000,0.7013,0.6519716109037399,0.6848442211055277,3.814954276492738,1.1362359550561798,518.6011855602264
11500,0.7071,0.6573210431337356,0.6889849246231156,3.6870144284128745,1.1451726568005638,540.5008518695831
12000,0.7102,0.6580644153356552,0.6954371859296482,3.9098250336473757,1.2555732484076434,563.1829149723053
12500,0.7172,0.6563295646905899,0.6967437185929648,3.777081701905508,1.0467625899280575,585.9051337242126
13000,0.7205,0.677337140083313,0.7004221105527638,3.980268566730611,1.1286015460295151,608.2508335113525
13500,0.7204,0.6684943369626999,0.7015678391959799,3.797798066595059,1.0397489539748954,630.3779318332672
14000,0.7241,0.6715170648097992,0.7044221105527638,3.89362822538178,1.108231707317073,652.2540318965912
14500,0.7301,0.6811164975762367,0.7106130653266332,4.307012374779021,1.2314049586776858,674.0137393474579
15000,0.731,0.6836808910369873,0.7127839195979899,4.132409972299169,1.0787172011661808,695.6861901283264
15500,0.7339,0.6694668760299682,0.7148341708542714,4.166481378543636,1.0838126540673787,717.4680624008179
16000,0.7358,0.661048315167427,0.7182713567839196,4.3116376724655066,1.149214659685864,739.588481426239
16500,0.737,0.6680378997325898,0.7189949748743718,4.480948094809481,1.0290088638195003,761.1499154567719
17000,0.7392,0.6665975574851036,0.7212663316582915,4.631298904538341,1.0944026733500418,782.9722385406494
17500,0.7437,0.6671761562824249,0.7249045226130654,4.803320561941252,1.157254561251086,805.3810946941376
18000,0.7435,0.6720265358686447,0.7268743718592965,4.334393063583815,1.078588612670409,827.2917861938477
18500,0.7461,0.6753030496835709,0.7294070351758793,4.7328519855595665,1.1026058631921825,849.1620540618896
19000,0.7483,0.6779791865348815,0.7316180904522613,4.67956469165659,1.088,870.8690595626831
19500,0.7494,0.6896202856302261,0.7334472361809046,4.869025450031037,1.071993670886076,892.4625790119171
20000,0.7518,0.6799725577831268,0.7346331658291457,4.648929663608563,1.0490848585690515,914.1857769489288
20500,0.7545,0.6748049436807633,0.7340301507537689,4.632926829268293,0.9752270850536746,935.8071036338806
21000,0.7541,0.6790113841295242,0.733929648241206,4.996478873239437,0.9958402662229617,957.8369488716125
21500,0.7539,0.6731524832248688,0.736964824120603,4.642767689417658,1.1362815884476534,981.0380923748016
22000,0.7544,0.6681572172641754,0.7361608040201005,5.08324907313785,0.9658703071672355,1002.6958379745483
22500,0.7541,0.6702774807214736,0.7404824120603015,5.161933739012847,1.2128712871287128,1024.356657743454
23000,0.758,0.6803002101182938,0.7431557788944724,5.142083897158322,1.1229205175600738,1046.0644674301147
23500,0.7585,0.684027481675148,0.745286432160804,5.365519662921348,1.0990654205607477,1067.7137851715088
24000,0.7607,0.6839744515419006,0.7459698492462311,5.440803382663848,1.0287891617273497,1089.4019181728363
24500,0.7639,0.6756932013034821,0.7475175879396985,5.270603937270604,1.067781690140845,1111.081509590149
25000,0.7645,0.6741174424886703,0.7488643216080402,5.462093862815885,1.0626168224299066,1132.7329604625702
25500,0.7646,0.684399640917778,0.7493266331658291,5.280446549391069,1.0205173951828725,1154.4197101593018
26000,0.767,0.6991505892276764,0.754713567839196,5.59144645340751,1.2493023255813953,1176.2458486557007
26500,0.7703,0.6869318383932114,0.7530452261306533,5.120740985775719,0.928448275862069,1197.9259819984436
27000,0.7712,0.6854185804128646,0.7534070351758794,5.282384282384283,1.014977973568282,1219.6405317783356
27500,0.7686,0.6863920650482178,0.7524221105527639,5.4372355430183354,0.9586846543001686,1241.3202562332153
28000,0.7691,0.701928995192051,0.7529246231155778,5.6231884057971016,1.0204248366013071,1262.9930050373077
28500,0.7679,0.6977235058546066,0.7564020100502512,5.40990232401482,1.1555755395683454,1284.6979463100433
29000,0.7722,0.6861013458967209,0.7576482412060301,5.790915645277577,1.059787849566056,1306.3585457801819
29500,0.7724,0.7025142238140106,0.7569246231155778,5.591004919184821,0.970873786407767,1328.01216340065
30000,0.7732,0.6931780500411987,0.7583517587939699,5.382332402234637,1.0646630236794172,1349.7363910675049
30500,0.7737,0.6859933919906617,0.7596582914572865,5.592031029619182,1.0602968460111317,1371.4490234851837
31000,0.7751,0.6927509661912918,0.7609045226130653,5.4603943272224145,1.0601357904946653,1393.143103837967
31500,0.7765,0.6826941477060318,0.7610854271356784,6.097709923664122,1.008587786259542,1414.844471693039
32000,0.7768,0.6945691477060318,0.7616683417085427,6.170196671709531,1.0259856630824373,1436.494528055191
32500,0.7778,0.6889460419416428,0.7608844221105527,5.322714681440443,0.9671717171717171,1458.1840026378632
33000,0.7822,0.6805303227901459,0.7606231155778894,5.769905296387233,0.9879182156133829,1479.9144048690796
33500,0.7829,0.6885975561141968,0.7641608040201004,6.208189820130118,1.1690682036503361,1501.6245329380035
34000,0.7817,0.6891231276988983,0.7642613065326633,5.600145137880987,1.0048923679060666,1523.294510126114
34500,0.7838,0.690179943561554,0.7679195979899498,6.1791841402973695,1.1967567567567567,1544.9906270503998
35000,0.7817,0.6839015347957611,0.7659899497487437,6.085212074894918,0.9088319088319088,1566.651539325714
35500,0.7853,0.6893731265068054,0.7692060301507537,6.186783804430863,1.163098878695209,1588.3329615592957
36000,0.7866,0.680196988940239,0.770251256281407,6.086273006134969,1.053388090349076,1609.9317526817322
36500,0.7863,0.6837064595222473,0.769608040201005,6.0018960940462645,0.9679037111334002,1631.6305503845215
37000,0.7886,0.6778683927059174,0.7710954773869346,6.430914309143091,1.0824972129319956,1653.3268575668335
37500,0.7893,0.6944072170257568,0.7710552763819095,6.277799607072692,0.99800796812749,1675.1895215511322
38000,0.7893,0.6897339226007462,0.7713567839195979,6.612992125984252,1.0148221343873518,1696.8400044441223
38500,0.7883,0.6840795657634735,0.773105527638191,6.139085894405043,1.091869060190074,1718.5807435512543
39000,0.7909,0.692162899017334,0.7732663316582915,6.393228164678723,1.0077519379844961,1740.320078611374
39500,0.7898,0.6983873308897018,0.770713567839196,6.253333333333333,0.8906115417743324,1762.2258040904999
40000,0.79,0.7088371407985687,0.773608040201005,6.349333333333333,1.1363636363636365,1783.9764680862427
40500,0.7902,0.7002509665489197,0.7755577889447236,6.249306381292112,1.097,1805.6509203910828
41000,0.7912,0.700804943561554,0.7760201005025126,6.592978395061729,1.0220095693779905,1827.3637871742249
41500,0.7943,0.7045880877971649,0.7773869346733668,6.422718052738337,1.0667320902845927,1849.1135478019714
42000,0.7978,0.7044896041154861,0.7784522613065327,6.124383769434964,1.052319842053307,1870.8449897766113
42500,0.7975,0.6973409285545349,0.7778090452261307,6.819665442676459,0.9706422018348624,1892.5207467079163
43000,0.7954,0.7021183896660804,0.7791959798994975,6.236235845372901,1.0685884691848906,1914.1763813495636
43500,0.7974,0.7082661184072494,0.7792964824120603,6.5659253375694995,1.0047036688617121,1935.8825948238373
44000,0.7961,0.6989905496835709,0.7801005025125628,6.236315590788977,1.040241448692153,1957.6050181388855
44500,0.798,0.7081742627620697,0.780180904522613,6.671127331711273,1.003831417624521,1979.2355334758759
45000,0.7995,0.7076600581407547,0.7832763819095477,6.664432176656152,1.147227533460803,2000.905515909195
45500,0.7983,0.6967822160720826,0.7809447236180904,6.362528560548363,0.8912839737582006,2022.5880100727081
46000,0.7987,0.6956458525657654,0.7801608040201005,6.287480680061824,0.9614624505928854,2044.297955751419
46500,0.7991,0.7078911182880402,0.7819095477386935,6.389253962118284,1.0854616895874263,2065.986543893814
47000,0.8021,0.7067168759107589,0.7816683417085427,6.471570576540755,0.9886685552407932,2087.6448369026184
