method,best_test_acc,best_step,final_test_acc,steps_covered,final_mask_ratio,final_pl_quality,final_reinforcement_ratio,final_corrections_ratio
efficientmatch_flex_mu2,0.8033,88000,0.8033,88000,0.7078986191749572,0.7820502512562814,7.7265,1.1283863368669023
efficientmatch_flex,0.8021,47000,0.8021,47000,0.7067168759107589,0.7816683417085427,6.471570576540755,0.9886685552407932
flexmatch,0.8017,70500,0.8017,70500,0.7504614782333374,0.7877788944723618,4.697816593886463,0.9675443968156767
efficientmatch,0.801,82000,0.801,82000,0.6314782398939133,0.7877587939698493,8.06395048994327,1.1882556131260795
fixmatch,0.8006,170500,0.8006,170500,0.7467240584492684,0.7933869346733669,5.202121871599565,0.9566246056782335
mixmatch,0.7794,290500,0.7688,342500,1.0,0.7169045226130654,3.080085806220951,1.0118427285646614
