step,test_acc,mask_ratio,pl_quality,reinforcement_ratio,corrections_ratio,time_elapsed
0,0.1316,1.0,0.00017391304347826088,,,25.59084439277649
500,0.1,1.0,0.26758695652173914,,,35.14064812660217
1000,0.1249,1.0,0.49284782608695654,1.057784911717496,3.4853801169590644,46.14502739906311
1500,0.2301,1.0,0.6205,1.46244169213447,3.6582163875056586,54.9932816028595
2000,0.4088,1.0,0.6644782608695652,2.602835332606325,1.786241741158181,63.812195777893066
2500,0.6365,1.0,0.702695652173913,3.330721003134796,1.8869828456104945,72.68309211730957
3000,0.72,1.0,0.732108695652174,3.7533244680851063,1.6992248062015505,81.48070216178894
3500,0.7614,1.0,0.7480217391304348,4.150462962962963,1.3160621761658031,90.28831052780151
4000,0.7845,1.0,0.7587826086956522,4.503502266172229,1.2438423645320198,99.10814332962036
4500,0.7978,1.0,0.7661086956521739,4.6346948141349245,1.1732647814910027,107.91016101837158
5000,0.8099,1.0,0.7713260869565217,4.594996090695856,1.102258201959949,116.72981548309326
5500,0.8167,1.0,0.7780434782608696,4.746153846153846,1.1439888164026095,125.53348588943481
6000,0.8232,1.0,0.7813260869565217,4.857358111501758,1.0811827956989248,134.3438057899475
6500,0.8265,1.0,0.7871304347826087,4.98270509977827,1.1254699248120301,143.1559100151062
7000,0.8301,1.0,0.7895434782608696,5.216046615867324,1.0505925250683683,151.9522819519043
7500,0.8344,1.0,0.7911304347826087,5.16794731064764,1.0394168466522677,160.76378536224365
8000,0.8381,1.0,0.7935652173913044,5.226809378185525,1.0562531391260672,169.56600999832153
8500,0.8387,1.0,0.7926739130434782,5.191103041307308,0.9816964285714286,178.3852503299713
9000,0.8422,1.0,0.7955434782608696,5.342748506246605,1.0701381509032943,187.20611190795898
9500,0.8458,1.0,0.8006521739130434,5.702078521939954,1.1361529548088065,196.02573776245117
10000,0.8494,1.0,0.8025869565217392,5.574950690335306,1.0404545454545455,204.85179233551025
10500,0.8501,1.0,0.8019130434782609,5.536909187466808,0.9851745576279293,213.65935492515564
