method,best_test_acc,best_step,final_test_acc,steps_covered,final_mask_ratio,final_pl_quality,final_reinforcement_ratio,final_corrections_ratio
fixmatch,0.8514,13500,0.8514,13500,0.6928073637485505,0.8461304347826087,9.561613958560523,1.152390438247012
efficientmatch_flex,0.8513,7500,0.8513,7500,0.7269449604749679,0.8336739130434783,9.222888283378747,1.1529051987767585
flexmatch,0.8513,13000,0.8513,13000,0.7363273377418518,0.8399347826086957,7.539652745190051,0.8926270579813886
mixmatch,0.8501,10500,0.8501,10500,1.0,0.8019130434782609,5.536909187466808,0.9851745576279293
