step,test_acc,mask_ratio,pl_quality,reinforcement_ratio,corrections_ratio,time_elapsed
0,0.1316,1.0,0.00024120603015075377,,,39.890233278274536
500,0.1,0.8565357458854247,0.2568040201005025,0.05,9.0,59.258445739746094
1000,0.1374,0.7415675872564316,0.3773869346733668,0.4912648497554158,2.682545731707317,76.42496752738953
1500,0.2569,0.7060966569185257,0.43975879396984924,0.8288535381239714,1.9065084501977705,93.91084599494934
2000,0.4006,0.6618695493936538,0.4824924623115578,1.1246825799898426,1.7750937109537692,111.64976501464844
2500,0.4909,0.6382089389562606,0.5120603015075377,1.379185520361991,1.6896728016359919,128.6634624004364
