step,test_acc,mask_ratio,pl_quality,reinforcement_ratio,corrections_ratio,time_elapsed
0,0.1,1.0,4.020100502512563e-05,,,45.92797136306763
500,0.3834,1.0,0.2236180904522613,,,77.42936515808105
1000,0.4143,1.0,0.37825125628140704,0.5070301291248207,1.7974217311233887,110.71244502067566
1500,0.4519,1.0,0.4279195979899498,0.6001471979812848,1.6992076966610075,139.99426651000977
2000,0.44,1.0,0.45105527638190956,0.837537409149209,1.361154690931911,170.28681206703186
2500,0.4674,1.0,0.47784924623115577,0.9279168135354248,1.5355564483728406,199.01900672912598
3000,0.5118,1.0,0.4955376884422111,1.0130619684082625,1.2835051546391754,227.38013792037964
3500,0.5079,1.0,0.5115778894472361,1.1577999672614177,1.307514450867052,254.64881014823914
4000,0.5278,1.0,0.5272562814070352,1.1796286082000367,1.3735632183908046,282.5907075405121
4500,0.5466,1.0,0.5386331658291458,1.2341618672324948,1.2713326941514862,313.27170038223267
5000,0.5442,1.0,0.5443618090452261,1.2941692240245506,1.2388935456831518,334.22994899749756
